Группа2;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;12798481;2102805;0.16430113854917627;863.929745275267;649;2434;27578;2;11231;187
ТОВАРЫ ДЛЯ ЖИВОТНЫХ;3404971;17222;0.005057899171534794;18.84245076586433;1032;914;14229;2;1841;9
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;20309;4513;0.2222167511940519;205.13636363636363;649;22;42;1;29;156
ТЕКСТИЛЬ, ТРИКОТАЖ;49283136;17201331;0.3490307719054242;4615.328950898846;1090;3727;69554;3;19651;875
СОПУТСТВУЮЩИЕ ТОВАРЫ;294560;99482;0.33773085279739273;394.76984126984127;376;252;979;1;673;148
ПОДГУЗНИКИ;64446485;2476779;0.03843156069722034;1395.3684507042253;1515;1775;64183;1;24358;102
ОБУВЬ;14860972;5127960;0.34506222069458176;2853.6227045075125;1207;1797;12898;1;7528;681
КРУПНОГАБАРИТНЫЙ ТОВАР;137612563;42177704;0.3064960282732326;10027.984783642416;5451;4206;27073;1;20747;2033
КОСМЕТИКА/ГИГИЕНА;9231024;1517944;0.1644393948060367;1164.9608595548734;283;1303;49665;3;12028;126
КАНЦТОВАРЫ, КНИГИ, ДИСКИ;3769877;833375;0.2210615890120553;339.59861450692745;327;2454;22848;3;6090;137
ИГРУШКИ;59202871;12975939;0.21917752941407181;1796.7237607310994;1056;7222;90915;2;33163;391
ЖЕНСКИЕ ШТУЧКИ;91265;54593;0.598181120911631;395.6014492753623;141;138;745;2;312;175
ДЕТСКОЕ ПИТАНИЕ;38657247;2363647;0.061143697066684544;1040.7956847203875;932;2271;300107;5;14412;164
