ВремяОкруглДаты;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
12:00:00;26724737;5760201;0.2155381734907251;1617.1254912970242;2067;3562;45196;3;7859;733
11:00:00;24840418;5334980;0.2147701379260204;1518.2071713147411;1988;3514;43916;3;7328;728
09:00:00;4771248;1038154;0.21758541999912812;721.94297635605;2014;1438;7654;3;1619;641
10:00:00;20615894;4414229;0.21411775788137055;1405.8054140127388;2025;3140;33930;3;6206;711
14:00:00;26570139;5841637;0.21985722393097;1696.6706360731919;2046;3443;44252;3;7902;739
13:00:00;20271992;4364413;0.21529275465381004;1433.304761904762;1989;3045;34636;3;6115;714
17:00:00;26070887;5770403;0.22133512373399494;1633.2870082083216;1962;3533;45884;3;7947;726
15:00:00;26616278;5826174;0.2188951437913295;1615.6888519134775;1966;3606;44172;3;8272;704
16:00:00;25705298;5655227;0.22000239016875042;1593.021690140845;1997;3550;44141;3;7799;725
18:00:00;27097221;5937349;0.21911283817628383;1724.970656595003;2095;3442;44447;3;7966;745
19:00:00;23682257;5266167;0.22236761470834474;1589.0666867833434;2079;3314;38778;3;6976;755
20:00:00;20307714;4381597;0.21576022786218085;1378.2941176470588;1891;3179;35795;3;6419;683
21:00:00;18299157;3905861;0.2134448597823386;1250.6759526096703;1782;3123;33015;3;5888;663
22:00:00;17148118;3464098;0.20201038971157068;1162.4489932885906;1680;2980;33722;3;5678;610
23:00:00;15271812;3095112;0.20266828847814522;1065.4430292598968;1585;2905;31176;4;5011;618
02:00:00;9773216;1974664;0.20204853755406613;814.9665703673132;1440;2423;19868;4;3420;577
04:00:00;1425235;302373;0.21215659171996198;380.3433962264151;1455;795;3270;4;547;553
05:00:00;853376;153491;0.17986327246137693;270.2306338028169;1419;568;1985;3;326;471
06:00:00;1555781;321434;0.20660619971576977;453.3624823695346;1941;709;2451;3;548;587
08:00:00;4241031;847592;0.19985517672471623;604.5592011412268;1854;1402;6171;2;1574;538
00:00:00;5144596;1134023;0.220429942409472;698.7202711028958;1874;1623;7830;3;1742;651
03:00:00;1006938;184356;0.18308575105915162;256.4061196105702;1300;719;2384;3;414;445
07:00:00;2914074;620325;0.21287208217773468;577.046511627907;2046;1075;4478;3;985;630
01:00:00;5059;914;0.18066811622850365;91.4;1039;10;54;8;2;457
